Time,Flow Rate,
2018/06/07 11:42:05,10.0
2018/06/07 11:42:10,12.0
2018/06/07 11:42:15,11.0
2018/06/07 11:42:20,15.0
2018/06/07 11:42:25,20.0
2018/06/07 11:42:30,19.0
2018/06/07 11:42:35,23.0
2018/06/07 11:42:40,26.0
2018/06/07 11:42:45,27.0
2018/06/07 11:42:50,28.0
2018/06/07 11:42:55,31.0
2018/06/07 11:43:00,35.0
2018/06/07 11:43:05,36.0
2018/06/07 11:43:10,38.0
2018/06/07 11:43:15,41.0
2018/06/07 11:43:20,42.0
2018/06/07 11:43:25,40.0
2018/06/07 11:43:30,34.0
2018/06/07 11:43:35,23.0
2018/06/07 11:43:40,15.0
2018/06/07 11:43:45,13.0
2018/06/07 11:43:50,12.0
2018/06/07 11:43:55,13.0
2018/06/07 11:44:00,13.0
2018/06/07 11:44:05,13.0
2018/06/07 11:44:10,10.0
2018/06/07 11:44:15,12.0
2018/06/07 11:44:20,11.0
2018/06/07 11:44:25,15.0
